Cell,cell_type
DSP-1001660020890-A-A02,EBV+_Tumor
DSP-1001660020890-A-A03,EBV+_CD4mem
DSP-1001660020890-A-A04,EBV+_CD4naive
DSP-1001660020890-A-A05,EBV+_CD8mem
DSP-1001660020890-A-A06,EBV+_CD8naive
DSP-1001660020890-A-A07,EBV+_Other
DSP-1001660020890-A-A08,EBV+_Tumor
DSP-1001660020890-A-A09,EBV+_CD4mem
DSP-1001660020890-A-A10,EBV+_CD4naive
DSP-1001660020890-A-A11,EBV+_CD8mem
DSP-1001660020890-A-A12,EBV+_CD8naive
DSP-1001660020890-A-B01,EBV+_Other
DSP-1001660020890-A-B02,EBV-_Tumor
DSP-1001660020890-A-B03,EBV-_CD4mem
DSP-1001660020890-A-B04,EBV-_CD4naive
DSP-1001660020890-A-B05,EBV-_CD8mem
DSP-1001660020890-A-B06,EBV-_CD8naive
DSP-1001660020890-A-B07,EBV-_Other
DSP-1001660020890-A-B08,EBV-_Tumor
DSP-1001660020890-A-B09,EBV-_CD4mem
DSP-1001660020890-A-B10,EBV-_CD4naive
DSP-1001660020890-A-B11,EBV-_CD8mem
DSP-1001660020890-A-B12,EBV-_CD8naive
DSP-1001660020890-A-C01,EBV-_Other
DSP-1001660020890-A-C02,EBV-_Tumor
DSP-1001660020890-A-C03,EBV-_CD4mem
DSP-1001660020890-A-C04,EBV-_CD4naive
DSP-1001660020890-A-C05,EBV-_CD8mem
DSP-1001660020890-A-C06,EBV-_CD8naive
DSP-1001660020890-A-C07,EBV-_Other
DSP-1001660020890-A-C08,EBV-_Tumor
DSP-1001660020890-A-C09,EBV-_CD4mem
DSP-1001660020890-A-C10,EBV-_CD4naive
DSP-1001660020890-A-C11,EBV-_CD8mem
DSP-1001660020890-A-C12,EBV-_CD8naive
DSP-1001660020890-A-D01,EBV-_Other
DSP-1001660020890-A-D02,EBV-_Tumor
DSP-1001660020890-A-D03,EBV-_CD4mem
DSP-1001660020890-A-D04,EBV-_CD4naive
DSP-1001660020890-A-D05,EBV-_CD8mem
DSP-1001660020890-A-D06,EBV-_CD8naive
DSP-1001660020890-A-D07,EBV-_Other
DSP-1001660020890-A-D08,EBV-_Tumor
DSP-1001660020890-A-D09,EBV-_CD4mem
DSP-1001660020890-A-D10,EBV-_CD4naive
DSP-1001660020890-A-D11,EBV-_CD8mem
DSP-1001660020890-A-D12,EBV-_CD8naive
DSP-1001660020890-A-E01,EBV-_Other
DSP-1001660020890-A-E02,EBV+_Tumor
DSP-1001660020890-A-E03,EBV+_CD4mem
DSP-1001660020890-A-E04,EBV+_CD4naive
DSP-1001660020890-A-E05,EBV+_CD8mem
DSP-1001660020890-A-E06,EBV+_CD8naive
DSP-1001660020890-A-E07,EBV+_Other
DSP-1001660020890-A-E08,EBV+_Tumor
DSP-1001660020890-A-E09,EBV+_CD4mem
DSP-1001660020890-A-E10,EBV+_CD4naive
