gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	EBV+_CD4mem	EBV+_CD4naive	EBV+_CD8mem	EBV+_CD8naive	EBV+_Other	EBV+_Tumor	EBV-_CD4mem	EBV-_CD4naive	EBV-_CD8mem	EBV-_CD8naive	EBV-_Other	EBV-_Tumor
UBASH3B	Q8TF42	True	UBS3B_HUMAN	Dehydroepiandrosterone_bySTS	CPI-CS09B8977D7	UBASH3B	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UBASH3B	Q8TF42	True	UBS3B_HUMAN	Dehydroepiandrosterone_bySTS	CPI-CS0259A0EB4	UBASH3B	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CYP21A2	P08686	True	CP21A_HUMAN	Desoxycorticosterone_byCYP21A2	CPI-CS012A5546C	CYP21A2	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Desmosterol_byDHCR7	CPI-CS086D3E39F	DHCR7	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Desmosterol_byDHCR7	CPI-CS0DC57DE37	DHCR7	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Cholesterol_byDHCR7	CPI-CS06C6527F4	DHCR7	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Cholesterol_byDHCR7	CPI-CS0BEF10547	DHCR7	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
PTGR1	Q14914	True	PTGR1_HUMAN	12oxoLeukotrieneB4_byPTGR1	CPI-CS0A5B6BD7A	PTGR1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
PTGR1	Q14914	True	PTGR1_HUMAN	12oxoLeukotrieneB4_byPTGR1	CPI-CS04A56D5BE	PTGR1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CYP11A1	P05108	True	CP11A_HUMAN	22Hydroxycholesterol_byCYP11A1	CPI-CS08D535BCF	CYP11A1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CYP3A4	P08684	True	CP3A4_HUMAN	22Hydroxycholesterol_byCYP3A4	CPI-CS01C347639	CYP3A4	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
DAGLA	Q9Y4D2	True	DGLA_HUMAN	2arachidonoylglycerol_byDAGLA	CPI-CS03629A52A	DAGLA	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
DAGLA	Q9Y4D2	True	DGLA_HUMAN	2arachidonoylglycerol_byDAGLA	CPI-CS0C6F86DF5	DAGLA	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
DAGLA	Q9Y4D2	True	DGLA_HUMAN	2arachidonoylglycerol_byDAGLA	CPI-CS045C37E64	DAGLA	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
DAGLB	Q8NCG7	True	DGLB_HUMAN	2arachidonoylglycerol_byDAGLB	CPI-CS007D418BE	DAGLB	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
DAGLB	Q8NCG7	True	DGLB_HUMAN	2arachidonoylglycerol_byDAGLB	CPI-CS030959ED1	DAGLB	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
DAGLB	Q8NCG7	True	DGLB_HUMAN	2arachidonoylglycerol_byDAGLB	CPI-CS01F7D06F1	DAGLB	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
DHRS9	Q9BPW9	True	DHRS9_HUMAN	5alphaDihydroprogesterone_byDHRS9	CPI-CS072C12EF4	DHRS9	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ALOX5	P09917	True	LOX5_HUMAN	5SHpETE_byALOX5	CPI-CS016CDFE07	ALOX5	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ALOX5	P09917	True	LOX5_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS0891F5216	ALOX5	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ALOX5	P09917	True	LOX5_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS00DCACEEE	ALOX5	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ALOX5	P09917	True	LOX5_HUMAN	LipoxinA4_byALOX5	CPI-CS0FC36F030	ALOX5	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ALOX5	P09917	True	LOX5_HUMAN	LipoxinA4_byALOX5	CPI-CS087E1C654	ALOX5	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
LTC4S	Q16873	True	LTC4S_HUMAN	5SHpETE_byALOX5	CPI-CS016CDFE07	LTC4S	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
LTC4S	Q16873	True	LTC4S_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS0891F5216	LTC4S	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
LTC4S	Q16873	True	LTC4S_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS00DCACEEE	LTC4S	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
LTC4S	Q16873	True	LTC4S_HUMAN	LipoxinA4_byALOX5	CPI-CS0FC36F030	LTC4S	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
LTC4S	Q16873	True	LTC4S_HUMAN	LipoxinA4_byALOX5	CPI-CS087E1C654	LTC4S	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
LTC4S	Q16873	True	LTC4S_HUMAN	LTC4_byLTC4S	CPI-CS0215886EA	LTC4S	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ALOX5AP	P20292	True	AL5AP_HUMAN	5SHpETE_byALOX5	CPI-CS016CDFE07	ALOX5AP	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ALOX5AP	P20292	True	AL5AP_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS0891F5216	ALOX5AP	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ALOX5AP	P20292	True	AL5AP_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS00DCACEEE	ALOX5AP	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ALOX5AP	P20292	True	AL5AP_HUMAN	LipoxinA4_byALOX5	CPI-CS0FC36F030	ALOX5AP	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ALOX5AP	P20292	True	AL5AP_HUMAN	LipoxinA4_byALOX5	CPI-CS087E1C654	ALOX5AP	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CHAT	P28329	True	CLAT_HUMAN	Acetylcholine_byCHAT	CPI-CS07EEAD824	CHAT	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CHAT	P28329	True	CLAT_HUMAN	Acetylcholine_byCHAT	CPI-CS09DCE99A5	CHAT	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
